instance_id,algorithm,seed,reported_cost,eval_distance,eval_num_routes,eval_penalty,eval_penalized_cost,reported_minus_eval,feasible_capacity,feasible_coverage,feasible_fleet,lower_bound_vehicles,vehicles_allowed,runtime_seconds,converged_iteration
instance_n20,V4_lamarckian_writeback,7,62094.953125,62094.953125,5,0.0,62094.953125,0.0,True,True,True,4,5,0.9990742206573486,80
instance_n20,V4_lamarckian_writeback,8,64208.8779296875,64208.8779296875,5,0.0,64208.8779296875,0.0,True,True,True,4,5,0.8008525371551514,0
instance_n20,V4_lamarckian_writeback,9,63360.4794921875,63360.4794921875,5,0.0,63360.4794921875,0.0,True,True,True,4,5,0.8964357376098633,85
instance_n20,V4_lamarckian_writeback,10,63478.5458984375,63478.5458984375,5,0.0,63478.5458984375,0.0,True,True,True,4,5,0.9242079257965088,5
instance_n20,V5_full_solver,1,64414.482421875,64414.482421875,5,0.0,64414.482421875,0.0,True,True,True,4,5,0.9910156726837158,0
instance_n20,V5_full_solver,2,64208.8779296875,64208.8779296875,5,0.0,64208.8779296875,0.0,True,True,True,4,5,0.9552826881408691,65
instance_n20,V5_full_solver,3,58381.8544921875,58381.8544921875,4,0.0,58381.8544921875,0.0,True,True,True,4,5,0.7573742866516113,5
instance_n20,V5_full_solver,4,64198.7099609375,64198.7099609375,5,0.0,64198.7099609375,0.0,True,True,True,4,5,0.8486130237579346,75
instance_n20,V5_full_solver,5,63472.2685546875,63472.2685546875,5,0.0,63472.2685546875,0.0,True,True,True,4,5,0.9792177677154541,5
instance_n20,V5_full_solver,6,64214.3525390625,64214.3525390625,5,0.0,64214.3525390625,0.0,True,True,True,4,5,0.9087567329406738,5
instance_n20,V5_full_solver,7,58381.8544921875,58381.8544921875,4,0.0,58381.8544921875,0.0,True,True,True,4,5,0.8443546295166016,90
instance_n20,V5_full_solver,8,61537.859375,61537.859375,4,0.0,61537.859375,0.0,True,True,True,4,5,0.7728495597839355,30
instance_n20,V5_full_solver,9,64214.3525390625,64214.3525390625,5,0.0,64214.3525390625,0.0,True,True,True,4,5,0.9239027500152588,10
instance_n20,V5_full_solver,10,62370.048828125,62370.048828125,5,0.0,62370.048828125,0.0,True,True,True,4,5,0.9841217994689941,40
instance_n20,V6_inter_route_2opt_star,1,58381.8544921875,58381.8544921875,4,0.0,58381.8544921875,0.0,True,True,True,4,5,1.0042321681976318,5
instance_n20,V6_inter_route_2opt_star,2,64198.708984375,64198.708984375,5,0.0,64198.708984375,0.0,True,True,True,4,5,1.1627895832061768,5
instance_n20,V6_inter_route_2opt_star,3,58381.8544921875,58381.8544921875,4,0.0,58381.8544921875,0.0,True,True,True,4,5,1.0023508071899414,0
instance_n20,V6_inter_route_2opt_star,4,64198.708984375,64198.708984375,5,0.0,64198.708984375,0.0,True,True,True,4,5,1.098707914352417,5
instance_n20,V6_inter_route_2opt_star,5,58750.8203125,58750.8203125,4,0.0,58750.8203125,0.0,True,True,True,4,5,1.037052869796753,0
instance_n20,V6_inter_route_2opt_star,6,58381.8544921875,58381.8544921875,4,0.0,58381.8544921875,0.0,True,True,True,4,5,1.0654957294464111,0
instance_n20,V6_inter_route_2opt_star,7,64198.708984375,64198.708984375,5,0.0,64198.708984375,0.0,True,True,True,4,5,1.1198647022247314,5
instance_n20,V6_inter_route_2opt_star,8,60053.0830078125,60053.0830078125,4,0.0,60053.0830078125,0.0,True,True,True,4,5,1.191237449645996,90
instance_n20,V6_inter_route_2opt_star,9,64198.708984375,64198.708984375,5,0.0,64198.708984375,0.0,True,True,True,4,5,1.014430046081543,0
instance_n20,V6_inter_route_2opt_star,10,62218.111328125,62218.111328125,5,0.0,62218.111328125,0.0,True,True,True,4,5,0.9660849571228027,0
instance_n50,V1_prins_split_unconstrained,1,3174989.1640625,174989.1640625,11,3000000.0,3174989.1640625,0.0,True,True,False,10,8,0.848341703414917,99
instance_n50,V1_prins_split_unconstrained,2,3169901.1943359375,169901.1943359375,11,3000000.0,3169901.1943359375,0.0,True,True,False,10,8,0.7007467746734619,99
instance_n50,V1_prins_split_unconstrained,3,3166716.7001953125,166716.7001953125,11,3000000.0,3166716.7001953125,0.0,True,True,False,10,8,0.7684404850006104,99
instance_n50,V1_prins_split_unconstrained,4,3170592.8466796875,170592.8466796875,11,3000000.0,3170592.8466796875,0.0,True,True,False,10,8,0.7681787014007568,99
instance_n50,V1_prins_split_unconstrained,5,3172301.3583984375,172301.3583984375,11,3000000.0,3172301.3583984375,0.0,True,True,False,10,8,0.8123974800109863,99
instance_n50,V1_prins_split_unconstrained,6,3175950.2021484375,175950.2021484375,11,3000000.0,3175950.2021484375,0.0,True,True,False,10,8,0.7325050830841064,99
instance_n50,V1_prins_split_unconstrained,7,3179708.9287109375,179708.9287109375,11,3000000.0,3179708.9287109375,0.0,True,True,False,10,8,0.6864712238311768,99
instance_n50,V1_prins_split_unconstrained,8,3182763.3916015625,182763.3916015625,11,3000000.0,3182763.3916015625,0.0,True,True,False,10,8,0.8106553554534912,99
instance_n50,V1_prins_split_unconstrained,9,3167928.7504882812,167928.75048828125,11,3000000.0,3167928.7504882812,0.0,True,True,False,10,8,0.784376859664917,99
instance_n50,V1_prins_split_unconstrained,10,3175089.9555664062,175089.95556640625,11,3000000.0,3175089.9555664062,0.0,True,True,False,10,8,0.7342560291290283,99
instance_n50,V2_fleet_bounded_split,1,3173234.35546875,173234.35546875,11,3000000.0,3173234.35546875,0.0,True,True,False,10,8,4.287665843963623,99
instance_n50,V2_fleet_bounded_split,2,3178942.6723632812,178942.67236328125,11,3000000.0,3178942.6723632812,0.0,True,True,False,10,8,3.3776278495788574,99
instance_n50,V2_fleet_bounded_split,3,3169925.99609375,169925.99609375,11,3000000.0,3169925.99609375,0.0,True,True,False,10,8,2.866537094116211,99
instance_n50,V2_fleet_bounded_split,4,3165014.8422851562,165014.84228515625,11,3000000.0,3165014.8422851562,0.0,True,True,False,10,8,3.4064130783081055,99
instance_n50,V2_fleet_bounded_split,5,3176106.8564453125,176106.8564453125,11,3000000.0,3176106.8564453125,0.0,True,True,False,10,8,2.6899497509002686,99
instance_n50,V2_fleet_bounded_split,6,3178514.2885742188,178514.28857421875,11,3000000.0,3178514.2885742188,0.0,True,True,False,10,8,2.5153470039367676,99
instance_n50,V2_fleet_bounded_split,7,3170820.8227539062,170820.82275390625,11,3000000.0,3170820.8227539062,0.0,True,True,False,10,8,2.7773995399475098,99
