instance_id,algorithm,mean_distance,std_distance,best_distance,mean_num_routes,min_num_routes,mean_penalized_cost,std_penalized_cost,mean_runtime_sec,mean_converged_iteration,feasible_fleet_rate,mean_reported_minus_eval
instance_n100,Ant Colony (MMAS),259572.86391601563,5313.057856359566,248214.48046875,17.0,17,2259572.8639160157,5313.057856359567,5.193825125694275,54.3,0.0,0.0
instance_n100,Clarke-Wright,228951.41259765625,0.0,228951.41259765625,18.0,18,3228951.4125976562,0.0,0.040496444702148436,0.0,0.0,0.0
instance_n100,Genetic Algorithm,343838.2438964844,7486.279156567539,335463.43896484375,17.8,17,3143838.2438964844,425422.0813050197,0.27770779132843015,99.0,0.0,-2800000.0
instance_n100,Nearest Neighbor,266701.89794921875,0.0,266701.89794921875,17.0,17,2266701.8979492188,0.0,0.0013883113861083984,0.0,0.0,0.0
instance_n100,QPSO (baseline),443906.687890625,7260.200821610297,429837.44921875,18.0,18,3443906.687890625,7260.200821610297,0.2637350559234619,51.3,0.0,0.0
instance_n100,QPSO-Optimized,271213.17680664064,23352.278945611517,251177.66796875,17.0,17,2271213.176806641,23352.278945611517,10.176693320274353,15.0,0.0,0.0
instance_n100,Standard PSO,429316.3174804688,11125.497744352722,411305.271484375,18.0,18,3429316.3174804687,11125.497744352722,0.2262709617614746,87.3,0.0,0.0
instance_n20,Ant Colony (MMAS),58709.328125,911.4586558743151,58381.8544921875,4.0,4,58709.328125,911.4586558743151,0.7618122816085815,73.6,1.0,0.0
instance_n20,Clarke-Wright,64161.048828125,0.0,64161.048828125,5.0,5,64161.048828125,0.0,0.0006995201110839844,0.0,1.0,0.0
instance_n20,Genetic Algorithm,69460.77890625,2345.285343095448,67087.9130859375,5.0,5,69460.77890625,2345.285343095448,0.08926160335540771,99.0,1.0,0.0
instance_n20,Nearest Neighbor,85440.056640625,0.0,85440.056640625,5.0,5,85440.056640625,0.0,0.0001215219497680664,0.0,1.0,0.0
instance_n20,QPSO (baseline),71599.48525390626,3984.839891721532,66391.6044921875,4.9,4,71599.48525390626,3984.839891721532,0.11980092525482178,89.9,1.0,0.0
instance_n20,QPSO-Optimized,62539.46611328125,2383.734433564468,58381.8544921875,4.7,4,62539.46611328125,2383.734433564468,0.7821090936660766,32.5,1.0,0.0
instance_n20,Standard PSO,70822.6130859375,2515.938066274377,66895.2490234375,4.9,4,70822.6130859375,2515.938066274377,0.08421523571014404,72.9,1.0,0.0
instance_n50,Ant Colony (MMAS),169348.4978515625,8993.016742405789,157129.3525390625,10.0,10,2169348.4978515627,8993.016742405789,2.0245485067367555,83.2,0.0,0.0
instance_n50,Clarke-Wright,149027.943359375,0.0,149027.943359375,11.0,11,3149027.943359375,0.0,0.007236170768737793,0.0,0.0,0.0
instance_n50,Genetic Algorithm,192465.75546875,6624.733401952289,182861.037109375,11.0,11,3192465.75546875,6624.733401952289,0.16892309188842775,99.0,0.0,-3000000.0
instance_n50,Nearest Neighbor,184609.0224609375,0.0,184609.0224609375,11.0,11,3184609.0224609375,0.0,0.000460052490234375,0.0,0.0,0.0
instance_n50,QPSO (baseline),225133.3716308594,3916.945264595507,218245.564453125,11.0,11,3225133.3716308596,3916.945264595507,0.19595606327056886,52.5,0.0,0.0
instance_n50,QPSO-Optimized,202862.15234375,0.0,202862.15234375,10.0,10,2202862.15234375,0.0,2.426354932785034,0.0,0.0,0.0
instance_n50,Standard PSO,214001.05732421874,8066.927670013472,200728.96484375,11.0,11,3214001.0573242186,8066.927670013472,0.14989786148071288,86.9,0.0,0.0
