instance_id,algorithm,num_routes,distance,penalized_cost
instance_n100,ant_colony_mmas,17,248214.48046875,2248214.48046875
instance_n100,qpso_optimized,17,251177.66796875,2251177.66796875
instance_n100,nearest_neighbor,17,266701.89794921875,2266701.8979492188
instance_n100,genetic_algorithm,17,335698.6328125,2335698.6328125
instance_n100,clarke_wright,18,228951.41259765625,3228951.4125976562
instance_n100,standard_pso,18,411305.271484375,3411305.271484375
instance_n100,qpso_baseline,18,429837.44921875,3429837.44921875
instance_n20,ant_colony_mmas,4,58381.8544921875,58381.8544921875
instance_n20,qpso_optimized,4,58381.8544921875,58381.8544921875
instance_n20,qpso_baseline,4,66391.6044921875,66391.6044921875
instance_n20,standard_pso,4,71818.375,71818.375
instance_n20,clarke_wright,5,64161.048828125,64161.048828125
instance_n20,genetic_algorithm,5,67087.9130859375,67087.9130859375
instance_n20,nearest_neighbor,5,85440.056640625,85440.056640625
instance_n50,ant_colony_mmas,10,157129.3525390625,2157129.3525390625
instance_n50,qpso_optimized,10,202862.15234375,2202862.15234375
instance_n50,clarke_wright,11,149027.943359375,3149027.943359375
instance_n50,genetic_algorithm,11,182861.037109375,3182861.037109375
instance_n50,nearest_neighbor,11,184609.0224609375,3184609.0224609375
instance_n50,standard_pso,11,200728.96484375,3200728.96484375
instance_n50,qpso_baseline,11,218245.564453125,3218245.564453125
