instance_id,algorithm,mean_cost,std_cost,best_cost,mean_runtime_sec,mean_conv_iter,optimality_gap_percent
instance_n100,Ant Colony (MMAS),2259572.8639160157,5313.057856359573,2248214.48046875,36.742409110069275,54.3,608.0659182767018
instance_n100,Clarke-Wright,3228951.412597656,0.0,3228951.412597656,0.0780320167541503,0.0,911.8330254105896
instance_n100,Genetic Algorithm,342041.0443359375,14392.32522420729,319118.998046875,3.236749505996704,99.0,7.182914971955221
instance_n100,Nearest Neighbor,2266701.8979492188,0.0,2266701.8979492188,0.0019974708557128,0.0,610.2998918341632
instance_n100,QPSO,3443906.687890625,7260.200821610297,3429837.44921875,1.8511116743087768,51.3,979.1919970194797
instance_n100,Standard PSO,3429316.3174804687,11125.497744352722,3411305.271484375,1.4394054174423219,87.3,974.6199187353742
instance_n20,Ant Colony (MMAS),58709.328125,911.4586558743151,58381.8544921875,4.9175971984863285,73.6,0.5609168048204457
instance_n20,Clarke-Wright,64161.048828125,0.0,64161.048828125,0.006476640701293901,0.0,9.898956424398708
instance_n20,Genetic Algorithm,69483.51215820313,1667.625644523627,67404.5537109375,0.7390400886535644,99.0,19.015596134414025
instance_n20,Nearest Neighbor,85440.056640625,0.0,85440.056640625,0.0010023117065428998,0.0,46.346938417412474
instance_n20,QPSO,71599.48525390626,3984.839891721532,66391.6044921875,0.7928108215332031,89.9,22.639963866662548
instance_n20,Standard PSO,70822.6130859375,2515.938066274377,66895.2490234375,0.2444653987884521,72.9,21.30928985035031
instance_n50,Ant Colony (MMAS),2169348.4978515627,8993.016742405724,2157129.3525390625,10.677626967430115,83.2,1077.8542715954932
instance_n50,Clarke-Wright,3149027.943359375,0.0,3149027.943359375,0.008543491363525302,0.0,1609.774164055592
instance_n50,Genetic Algorithm,190606.70576171874,4643.210590360158,184178.0048828125,1.4966565370559692,99.0,3.490482418352098
instance_n50,Nearest Neighbor,3184609.022460937,0.0,3184609.022460937,0.0010871887207031003,0.0,1629.0930176419372
instance_n50,QPSO,3225133.3716308596,3916.945264595613,3218245.564453125,1.1525813341140747,52.5,1651.095834534056
instance_n50,Standard PSO,3214001.0573242186,8066.927670013472,3200728.96484375,0.28935377597808837,86.9,1645.051511101557
