instance_id,algorithm,seed,total_cost,runtime_seconds,converged_iteration
instance_n100,Nearest Neighbor,1,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,2,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,3,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,4,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,5,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,6,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,7,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,8,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,9,2266701.8979492188,0.0019974708557128906,0
instance_n100,Nearest Neighbor,10,2266701.8979492188,0.0019974708557128906,0
instance_n100,Clarke-Wright,1,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,2,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,3,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,4,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,5,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,6,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,7,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,8,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,9,3228951.4125976562,0.07803201675415039,0
instance_n100,Clarke-Wright,10,3228951.4125976562,0.07803201675415039,0
instance_n100,Standard PSO,1,3427345.7236328125,0.5190784931182861,82
instance_n100,Standard PSO,2,3424998.478515625,0.42664480209350586,80
instance_n100,Standard PSO,3,3442509.9892578125,0.9145724773406982,95
instance_n100,Standard PSO,4,3431156.7138671875,1.8309662342071533,44
instance_n100,Standard PSO,5,3438442.0048828125,2.607595682144165,95
instance_n100,Standard PSO,6,3438847.58203125,1.5160789489746094,98
instance_n100,Standard PSO,7,3416538.888671875,1.8121364116668701,96
instance_n100,Standard PSO,8,3419907.740234375,1.5946202278137207,95
instance_n100,Standard PSO,9,3411305.271484375,1.515333652496338,92
instance_n100,Standard PSO,10,3442110.7822265625,1.657027244567871,96
instance_n100,QPSO,1,3441698.021484375,1.8107855319976807,81
instance_n100,QPSO,2,3429837.44921875,1.8138055801391602,95
instance_n100,QPSO,3,3444921.3359375,1.9936919212341309,69
instance_n100,QPSO,4,3441559.689453125,1.9395222663879395,0
instance_n100,QPSO,5,3453615.6015625,1.8530943393707275,65
instance_n100,QPSO,6,3451332.2109375,1.8237097263336182,10
instance_n100,QPSO,7,3450067.4462890625,1.9754137992858887,35
instance_n100,QPSO,8,3436311.4638671875,1.6711680889129639,73
instance_n100,QPSO,9,3441847.9716796875,1.83878755569458,79
instance_n100,QPSO,10,3447875.6884765625,1.791137933731079,6
instance_n100,Genetic Algorithm,1,327636.8515625,3.3436760902404785,99
instance_n100,Genetic Algorithm,2,358500.8203125,3.229024648666382,99
instance_n100,Genetic Algorithm,3,342236.71875,3.3724308013916016,99
instance_n100,Genetic Algorithm,4,319118.998046875,3.1433584690093994,99
instance_n100,Genetic Algorithm,5,354534.1025390625,3.2504401206970215,99
instance_n100,Genetic Algorithm,6,333215.9931640625,3.220240592956543,99
instance_n100,Genetic Algorithm,7,353608.2666015625,3.1400301456451416,99
instance_n100,Genetic Algorithm,8,359021.2626953125,3.1401891708374023,99
instance_n100,Genetic Algorithm,9,327972.279296875,3.1970834732055664,99
instance_n100,Genetic Algorithm,10,344565.150390625,3.331021547317505,99
instance_n100,Ant Colony (MMAS),1,2257529.7822265625,36.251450061798096,33
instance_n100,Ant Colony (MMAS),2,2254281.0205078125,30.166963815689087,74
instance_n100,Ant Colony (MMAS),3,2267398.7900390625,31.778743505477905,35
instance_n100,Ant Colony (MMAS),4,2261673.69140625,26.665223121643066,24
instance_n100,Ant Colony (MMAS),5,2260183.1264648438,26.799746990203857,70
instance_n100,Ant Colony (MMAS),6,2259165.841796875,28.679996013641357,48
instance_n100,Ant Colony (MMAS),7,2261848.82421875,50.26802349090576,39
instance_n100,Ant Colony (MMAS),8,2263645.115234375,54.27404260635376,32
instance_n100,Ant Colony (MMAS),9,2261787.966796875,38.04959845542908,95
instance_n100,Ant Colony (MMAS),10,2248214.48046875,44.49030303955078,93
instance_n20,Nearest Neighbor,1,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,2,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,3,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,4,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,5,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,6,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,7,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,8,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,9,85440.056640625,0.0010023117065429688,0
instance_n20,Nearest Neighbor,10,85440.056640625,0.0010023117065429688,0
instance_n20,Clarke-Wright,1,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,2,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,3,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,4,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,5,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,6,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,7,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,8,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,9,64161.048828125,0.006476640701293945,0
instance_n20,Clarke-Wright,10,64161.048828125,0.006476640701293945,0
instance_n20,Standard PSO,1,72180.71484375,0.19449925422668457,88
instance_n20,Standard PSO,2,71818.375,0.15833425521850586,71
instance_n20,Standard PSO,3,67380.048828125,0.13990449905395508,69
instance_n20,Standard PSO,4,70277.3935546875,0.23413372039794922,57
instance_n20,Standard PSO,5,71096.5654296875,0.19037270545959473,93
instance_n20,Standard PSO,6,68620.2236328125,0.1800975799560547,67
instance_n20,Standard PSO,7,66895.2490234375,0.6379179954528809,71
